Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
FR	Quindecim Recordings	P	spotify:track:0kSv2srgjV5EnxG3CA15LZ		7509708970163	MX2831201599	Los Ymposibles	Isabelle Villey, Códice de Saldívar IV	N/A	La Guitarra en el México Barroco	1	0.008453275109170305676855895197
ES	Quindecim Recordings	P	spotify:track:0vs3VacgE7pJu1WHBZKbk7		7509708061519	MX2831200448	A História de Lily Braun	Lilly Abreu, Cuarteto Latinoamericano, Edu Lobo / Chico Buarque	N/A	Bossa	2	0.007774849267872523686477174850
ES	Quindecim Recordings	A	spotify:track:0vs3VacgE7pJu1WHBZKbk7		7509708061519	MX2831200448	A História de Lily Braun	Lilly Abreu, Cuarteto Latinoamericano, Edu Lobo / Chico Buarque	N/A	Bossa	1	0.003887288817377312952534191472
US	Cantus Records	A	spotify:track:15dCjT2R4SFcMiLBs6gJpP		7502258850183	MX2831000400	Se tu non lasci: Se tu non lasci	Claudio Cavina, La Venexiana, La Venexiana, Rossana Bertini, Rossana Bertini, George Frideric Handel	N/A	George Frideric Handel: The 10 Duetti Italiani	3	0.003128953626634958382877526754
ES	Cantus Records	P	spotify:track:15dCjT2R4SFcMiLBs6gJpP		7502258850183	MX2831000400	Se tu non lasci: Se tu non lasci	Claudio Cavina, La Venexiana, La Venexiana, Rossana Bertini, Rossana Bertini, George Frideric Handel	N/A	George Frideric Handel: The 10 Duetti Italiani	1	0.003887424633936261843238587425
ES	Cantus Records	A	spotify:track:2GmIL3HLti6uoDfPdt8SfX		7502258850169	MX2831000330	Offertorium/Offertoire: Filie regum	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	2	0.007774577634754625905068382944
ES	Cantus Records	P	spotify:track:2GmIL3HLti6uoDfPdt8SfX		7502258850169	MX2831000330	Offertorium/Offertoire: Filie regum	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	1	0.003887424633936261843238587425
CH	Cantus Records	P	spotify:track:2GmIL3HLti6uoDfPdt8SfX		7502258850169	MX2831000330	Offertorium/Offertoire: Filie regum	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	2	0.02308888888888888888888888888
US	Cantus Records	A	spotify:track:2GmIL3HLti6uoDfPdt8SfX		7502258850169	MX2831000330	Offertorium/Offertoire: Filie regum	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	1	0.001042984542211652794292508918
ES	Videophonic	P	spotify:track:2RAcTjOEQbguUHQiJsuRXb		7502258850688	MX2831001198	El joropo	Alejandro Corona, Mario Ruiz Armengol	N/A	33 Piezas para niños	1	0.003887424633936261843238587425
