video_id,custom_id,isrc,grid,day,country,content_type,content_policy,embed_views,watch_views,youtube_sold_revenue,partner_sold_revenue,afv_revenue,amount_payable
ObKFBzZDGUg,ObKFBzZDGUg,,,20120613,ES,commercial,share,0,1,0.00358,0,0,0.001449
ObKFBzZDGUg,ObKFBzZDGUg,,,20120614,ES,commercial,share,0,2,0.0048,0,0,0.001944
ObKFBzZDGUg,ObKFBzZDGUg,,,20120614,IT,commercial,share,0,0,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120615,ES,commercial,share,0,1,0.00251,0,0,0.001016
ObKFBzZDGUg,ObKFBzZDGUg,,,20120615,PE,commercial,share,0,1,0.00251,0,0,0.001016
ObKFBzZDGUg,ObKFBzZDGUg,,,20120615,PL,commercial,share,0,1,0.00251,0,0,0.001016
ObKFBzZDGUg,ObKFBzZDGUg,,,20120617,AE,commercial,free,0,2,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120617,ES,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120617,PT,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120618,ES,commercial,share,0,4,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120619,ES,commercial,share,0,2,0.00444,0,0,0.001798
ObKFBzZDGUg,ObKFBzZDGUg,,,20120620,ES,commercial,share,1,2,0.00294,0,0,0.00119
ObKFBzZDGUg,ObKFBzZDGUg,,,20120620,MX,commercial,share,0,1,0.00147,0,0,0.000595
ObKFBzZDGUg,ObKFBzZDGUg,,,20120621,ES,commercial,share,0,4,0.00775,0,0,0.003138
ObKFBzZDGUg,ObKFBzZDGUg,,,20120622,ES,commercial,share,0,1,0.00157,0,0,0.000635
ObKFBzZDGUg,ObKFBzZDGUg,,,20120623,ES,commercial,share,1,1,0.00157,0,0,0.000635
ObKFBzZDGUg,ObKFBzZDGUg,,,20120624,AR,commercial,share,0,1,0.00163,0,0,0.00066
ObKFBzZDGUg,ObKFBzZDGUg,,,20120624,CL,commercial,share,0,0,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120624,DE,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120624,ES,commercial,share,0,2,0.00163,0,0,0.00066
ObKFBzZDGUg,ObKFBzZDGUg,,,20120625,ES,commercial,share,0,2,0.00344,0,0,0.001393
ObKFBzZDGUg,ObKFBzZDGUg,,,20120626,DE,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120626,ES,commercial,share,0,1,0.00254,0,0,0.001028
ObKFBzZDGUg,ObKFBzZDGUg,,,20120626,FR,commercial,share,0,1,0.00254,0,0,0.001028
ObKFBzZDGUg,ObKFBzZDGUg,,,20120627,ES,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120628,DE,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120628,IT,commercial,share,0,1,0.01317,0,0,0.005333
ObKFBzZDGUg,ObKFBzZDGUg,,,20120628,PY,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120630,DE,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120630,MX,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120630,US,commercial,share,0,1,0,0,0,0
aEoJXeJDSYI,aEoJXeJDSYI,,,20120605,MX,commercial,share,0,1,0.00143,0,0,0.000579
aEoJXeJDSYI,aEoJXeJDSYI,,,20120608,BE,commercial,share,0,0,0.00135,0,0,0.000546
aEoJXeJDSYI,aEoJXeJDSYI,,,20120610,ES,commercial,share,0,1,0.00133,0,0,0.000538
aEoJXeJDSYI,aEoJXeJDSYI,,,20120614,ES,commercial,share,0,1,0.0024,0,0,0.000972
aEoJXeJDSYI,aEoJXeJDSYI,,,20120615,ES,commercial,share,0,3,0.00753,0,0,0.003049
aEoJXeJDSYI,aEoJXeJDSYI,,,20120620,ES,commercial,share,0,1,0.00147,0,0,0.000595
aEoJXeJDSYI,aEoJXeJDSYI,,,20120622,ES,commercial,share,0,2,0.00314,0,0,0.001271
aEoJXeJDSYI,aEoJXeJDSYI,,,20120623,ES,commercial,share,0,1,0,0,0,0
aEoJXeJDSYI,aEoJXeJDSYI,,,20120624,ES,commercial,share,0,1,0.00163,0,0,0.00066
aEoJXeJDSYI,aEoJXeJDSYI,,,20120626,ES,commercial,share,0,2,0.00508,0,0,0.002057
aEoJXeJDSYI,aEoJXeJDSYI,,,20120629,ES,commercial,share,0,1,0,0,0,0
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120603,AR,ugc,share,0,1,0.00155,0,0,0.000488
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120611,ES,ugc,share,0,0,0.00137,0,0,0.000431
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120620,CH,ugc,share,0,1,0,0,0,0
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120621,ES,ugc,share,0,1,0.00155,0,0,0.000488
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120623,ES,ugc,share,0,1,0.00157,0,0,0.000494
rcFGqdPOD4Y,ObKFBzZDGUg,,,20120627,ES,ugc,share,0,1,0,0,0,0
